Place,Magnitude,Link,Date
"5km NNE of Culasian, Philippines",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us600087il,1583097560194,2020-03-01 21:19:20
"158km N of Tobelo, Indonesia",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us600086um,1582968506486,2020-02-29 09:28:26
"135km ESE of Tadine, New Caledonia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us600086su,1582958622662,2020-02-29 06:43:42
"103km SE of Neiafu, Tonga",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us600086p0,1582941432272,2020-02-29 01:57:12
"201km NW of Visokoi Island, South Georgia and the South Sandwich Islands",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us600086as,1582915678634,2020-02-28 18:47:58
"43km WSW of Pagaralam, Indonesia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000863e,1582898575047,2020-02-28 14:02:55
"117km ESE of Neiafu, Tonga",5.7,https://earthquake.usgs.gov/earthquakes/eventpage/us600085x5,1582875710508,2020-02-28 07:41:50
Southern East Pacific Rise,5.4,https://earthquake.usgs.gov/earthquakes/eventpage/us600085my,1582842036874,2020-02-27 22:20:36
"179km S of Sarangani, Philippines",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us600085g3,1582830782846,2020-02-27 19:13:02
Southern Mid-Atlantic Ridge,5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000859r,1582816698668,2020-02-27 15:18:18
Southern Mid-Atlantic Ridge,5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008535,1582776671106,2020-02-27 04:11:11
"48km NNW of Saumlaki, Indonesia",5.9,https://earthquake.usgs.gov/earthquakes/eventpage/us600084gu,1582702393350,2020-02-26 07:33:13
"109km WNW of Kirakira, Solomon Islands",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000848g,1582665453520,2020-02-25 21:17:33
"50km NNW of Hualian, Taiwan",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007we1,1582629244234,2020-02-25 11:14:04
"79km W of Santiago de Cao, Peru",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007w9l,1582604102857,2020-02-25 04:15:02
"240km SE of Lambasa, Fiji",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007w8g,1582596448142,2020-02-25 02:07:28
"83km ESE of Muara Siberut, Indonesia",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007w28,1582577961129,2020-02-24 20:59:21
"24km SE of Saray, Turkey",6,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v9g,1582473631630,2020-02-23 16:00:31
"67km NE of Kuril'sk, Russia",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v6u,1582462628617,2020-02-23 12:57:08
"26km ESE of Saray, Turkey",5.8,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v29,1582437181250,2020-02-23 05:53:01
"141km SE of Modayag, Indonesia",5.1,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v12,1582429196126,2020-02-23 03:39:56
"135km SE of Modayag, Indonesia",5.3,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v0d,1582423687089,2020-02-23 02:08:07
West Chile Rise,5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us70007uy4,1582413156918,2020-02-22 23:12:36
"62km SSE of `Ohonua, Tonga",5.5,https://earthquake.usgs.gov/earthquakes/eventpage/us70007uvu,1582400771292,2020-02-22 19:46:11
"40km SSE of `Ohonua, Tonga",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007uuu,1582397417303,2020-02-22 18:50:17
"110km SSE of Pondaguitan, Philippines",5.2,https://earthquake.usgs.gov/earthquakes/eventpage/us70007usp,1582385685820,2020-02-22 15:34:45
